StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID21,Q1,Q2,Q2.1_1,Q2.1_2,Q2.1_3,Q2.1_4,Q2.1_5,Q2.1_6,Q2.1_7,Q2.1_8,Q2.1_9,Q2.1_10,Q3,Q4,Q5,Q5.1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you live in the United States?,"In the past 30 days, have you consumed a coffee
or tea beverage from any of the following locations?","Have you previously joined, or would you consider joining, a
mobile app loyalty rewards program?",How important to you are each of the following factors for a mobile app loyalty program? - Rewards points that do not expire,How important to you are each of the following factors for a mobile app loyalty program? - Link credit/debit card to app for mobile payment at time of purchase,How important to you are each of the following factors for a mobile app loyalty program? - Preload funds to app for future mobile payments,How important to you are each of the following factors for a mobile app loyalty program? - Exclusive promotions/discounts,How important to you are each of the following factors for a mobile app loyalty program? - Free gift annually,How important to you are each of the following factors for a mobile app loyalty program? - Personalized notifications,How important to you are each of the following factors for a mobile app loyalty program? - Bonus point offers,How important to you are each of the following factors for a mobile app loyalty program? - Surprise free items (coupon),How important to you are each of the following factors for a mobile app loyalty program? - Surprise reward dollars (gift card),How important to you are each of the following factors for a mobile app loyalty program? - Rewards for referring a friend,"How much do you typically spend (US dollars) when you order from Starbucks?

 

Please enter only a number with up to 2 decimal points.","In the past 7 days, how many times have you
visited Starbucks and made a purchase?","Do you have the Starbucks mobile app installed
on your phone?","In the past 7 days, have you used the Starbucks
mobile app to pay for a Starbucks order?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID21""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID5_9""}","{""ImportId"":""QID5_10""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}"
2018-08-04 11:16:30,2018-08-04 11:18:27,IP Address,172.58.23.207,100,117,True,2018-08-04 11:18:27,R_eFg0EVjMTrKbv45,,,,,33.951705932617,-118.29560089111,social,EN,Yes,"Starbucks,Local/Neighborhood Cafe",Yes,Very important,Extremely important,Not at all important,Very important,Moderately important,Not at all important,Moderately important,Extremely important,Very important,Moderately important,4.5,1,Yes,Yes
2018-08-04 11:35:54,2018-08-04 11:38:19,IP Address,170.72.32.255,100,145,True,2018-08-04 11:38:20,R_3PjE0hTevMTIakc,,,,,40.393005371094,-111.78379821777,anonymous,EN,Yes,"Starbucks,Other",Yes,Very important,Not at all important,Moderately important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,6,0,Yes,No
2018-08-04 11:38:27,2018-08-04 11:38:50,IP Address,172.58.37.227,100,23,True,2018-08-04 11:38:51,R_6J2ZpZWDhFlY8pz,,,,,37.739303588867,-122.17469787598,anonymous,EN,Yes,Other,No,,,,,,,,,,,,,,
2018-08-04 11:54:45,2018-08-04 11:56:10,IP Address,97.117.78.121,100,85,True,2018-08-04 11:56:11,R_2AKG5NOctaJpCBB,,,,,40.514099121094,-112.03299713135,anonymous,EN,Yes,,Yes,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Moderately important,Extremely important,Extremely important,Very important,Extremely important,,,,
2018-08-04 12:01:39,2018-08-04 12:02:06,IP Address,71.195.199.94,100,26,True,2018-08-04 12:02:06,R_2uD34j3JchwiA40,,,,,41.182800292969,-111.91500091553,anonymous,EN,Yes,"Local/Neighborhood Cafe,Home/Other Household",No,,,,,,,,,,,,,,
2018-08-04 12:19:43,2018-08-04 12:20:16,IP Address,47.33.103.177,100,33,True,2018-08-04 12:20:16,R_3PTtfIKjLKWTA50,,,,,34.069900512695,-117.9421005249,social,EN,Yes,Other,Yes,Extremely important,Moderately important,Moderately important,Very important,Very important,Moderately important,Extremely important,Extremely important,Extremely important,Moderately important,,,,
2018-08-04 12:20:02,2018-08-04 12:21:14,IP Address,71.222.1.198,100,71,True,2018-08-04 12:21:14,R_22QB94H6w0eULTW,,,,,36.151092529297,-115.110496521,anonymous,EN,Yes,"Starbucks,Dunkin' Donuts,McDonalds,Local/Neighborhood Cafe,Home/Other Household,Other",No,,,,,,,,,,,10,0,Yes,No
2018-08-04 12:20:32,2018-08-04 12:22:55,IP Address,172.56.40.164,100,143,True,2018-08-04 12:22:56,R_2QzXOJY3yNLnvSj,,,,,34.089096069336,-118.09239959717,social,EN,Yes,"Starbucks,Local/Neighborhood Cafe,Home/Other Household,Other",Yes,Extremely important,Slightly important,Slightly important,Very important,Extremely important,Very important,Very important,Moderately important,Moderately important,Very important,10,0,No,
2018-08-04 12:35:35,2018-08-04 12:38:26,IP Address,76.75.8.55,100,171,True,2018-08-04 12:38:27,R_3EuqZ0cFzU2Vqlg,,,,,45.284606933594,-111.3683013916,anonymous,EN,Yes,Home/Other Household,Yes,Extremely important,Very important,Very important,Extremely important,Extremely important,Moderately important,Moderately important,Extremely important,Very important,Very important,,,,
2018-08-04 13:12:30,2018-08-04 13:12:37,IP Address,103.240.192.242,100,6,True,2018-08-04 13:12:37,R_zcJ2FVV579K9Xjz,,,,,28.466705322266,77.033294677734,social,EN,No,,,,,,,,,,,,,,,,
2018-08-04 13:10:08,2018-08-04 13:19:31,IP Address,107.77.231.194,100,563,True,2018-08-04 13:19:31,R_ZdSnSe4aDLYIZxL,,,,,33.726501464844,-118.00689697266,anonymous,EN,Yes,"Starbucks,7-Eleven",Yes,Extremely important,Moderately important,Moderately important,Extremely important,Very important,Moderately important,Very important,Extremely important,Extremely important,Moderately important,7,2,No,
2018-08-04 13:25:31,2018-08-04 13:27:01,IP Address,107.77.203.114,100,90,True,2018-08-04 13:27:02,R_2SicB7S1vCyc5j7,,,,,38.966003417969,-76.907600402832,anonymous,EN,Yes,Dunkin' Donuts,Yes,Extremely important,Not at all important,Extremely important,Moderately important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Not at all important,,,,
2018-08-04 13:25:20,2018-08-04 13:31:14,IP Address,98.202.238.206,100,353,True,2018-08-04 13:31:14,R_2DY1r7G57gyStL3,,,,,40.703506469727,-112.05239868164,anonymous,EN,Yes,"Home/Other Household,Other",Yes,Extremely important,Not at all important,Slightly important,Moderately important,Extremely important,Slightly important,Very important,Extremely important,Extremely important,Moderately important,,,,
2018-08-04 13:41:25,2018-08-04 13:47:24,IP Address,172.58.39.202,100,359,True,2018-08-04 13:47:24,R_3RxYuDSUofW9eVI,,,,,37.735000610352,-122.20880126953,anonymous,EN,Yes,Work,Yes,Extremely important,Moderately important,Moderately important,Very important,Very important,Very important,Extremely important,Very important,Very important,Very important,,,,
2018-08-04 13:47:40,2018-08-04 13:49:23,IP Address,96.255.187.74,100,102,True,2018-08-04 13:49:23,R_3spGWMeavwigbBN,,,,,38.918594360352,-76.786201477051,anonymous,EN,Yes,"Starbucks,Home/Other Household",Yes,Extremely important,Moderately important,Moderately important,Very important,Moderately important,Moderately important,Extremely important,Slightly important,Very important,Not at all important,10,1,Yes,No
2018-08-04 13:48:38,2018-08-04 13:51:59,IP Address,99.203.10.114,100,200,True,2018-08-04 13:51:59,R_1jPPYa4Xi9DYDUD,,,,,33.769302368164,-117.87969970703,social,EN,Yes,"Starbucks,Local/Neighborhood Cafe,Work",Yes,Very important,Very important,Not at all important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Not at all important,5,2,No,
2018-08-04 13:55:19,2018-08-04 13:57:13,IP Address,99.203.67.97,100,114,True,2018-08-04 13:57:14,R_d73Lv9ruwYFyq41,,,,,33.998901367188,-117.44079589844,social,EN,Yes,"Starbucks,Dunkin' Donuts,McDonalds,Local/Neighborhood Cafe,Peet's Coffee,7-Eleven,Home/Other Household,Work",Yes,Extremely important,Very important,Extremely important,Moderately important,Slightly important,Very important,Moderately important,Very important,Very important,Moderately important,3,5,No,
2018-08-04 13:57:53,2018-08-04 13:59:11,IP Address,174.254.138.78,100,78,True,2018-08-04 13:59:12,R_1g8BolZzGzCi4yo,,,,,37.751007080078,-97.821998596191,anonymous,EN,Yes,Home/Other Household,Yes,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,,,
2018-08-04 13:56:41,2018-08-04 13:59:14,IP Address,67.163.75.198,100,153,True,2018-08-04 13:59:14,R_2YzzmfLn5g5GCcg,,,,,40.514099121094,-112.03299713135,anonymous,EN,Yes,Other,Yes,Extremely important,Not at all important,Not at all important,Extremely important,Extremely important,Moderately important,Slightly important,Extremely important,Extremely important,Slightly important,,,,
2018-08-04 14:50:21,2018-08-04 14:51:58,IP Address,107.77.231.144,100,97,True,2018-08-04 14:51:58,R_2CkXCVKgqR912Yu,,,,,33.726501464844,-118.00689697266,anonymous,EN,Yes,Starbucks,Yes,Extremely important,Very important,Very important,Very important,Very important,Very important,Very important,Extremely important,Very important,Moderately important,4.5,2,Yes,Yes
2018-08-04 15:01:35,2018-08-04 15:03:37,IP Address,73.65.210.86,100,121,True,2018-08-04 15:03:37,R_3m3ugfo6Gzyfl2r,,,,,40.60969543457,-111.93910217285,anonymous,EN,Yes,,Yes,Very important,Not at all important,Moderately important,Moderately important,Moderately important,Slightly important,Moderately important,Moderately important,Moderately important,Moderately important,,,,
2018-08-04 15:03:59,2018-08-04 15:05:39,IP Address,107.77.228.36,100,99,True,2018-08-04 15:05:39,R_6JqGtIlwD4k4KKB,,,,,34.021102905273,-118.39649963379,social,EN,Yes,Other,Yes,Very important,Not at all important,Not at all important,Very important,Slightly important,Very important,Moderately important,Moderately important,Slightly important,Not at all important,,,,
2018-08-04 15:08:33,2018-08-04 15:09:54,IP Address,99.39.124.113,100,80,True,2018-08-04 15:09:54,R_3fdTCBC9AX1vnVU,,,,,33.14990234375,-96.855499267578,anonymous,EN,Yes,,Yes,Extremely important,Extremely important,Not at all important,Extremely important,Very important,Moderately important,Extremely important,Moderately important,Extremely important,Slightly important,,,,
2018-08-04 14:42:01,2018-08-04 15:35:30,IP Address,174.208.2.236,100,3209,True,2018-08-04 15:35:31,R_3NEulKmvwCZRsIC,,,,,40.760803222656,-111.89109802246,anonymous,EN,Yes,"Starbucks,McDonalds,Home/Other Household,Other",Yes,Very important,Slightly important,Slightly important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Very important,Very important,4,7,Yes,No
2018-08-04 16:40:12,2018-08-04 16:41:22,IP Address,107.77.230.86,100,70,True,2018-08-04 16:41:23,R_DwLciYnmcn9Rcd3,,,,,34.02490234375,-117.89730072021,anonymous,EN,Yes,"Starbucks,Local/Neighborhood Cafe,Home/Other Household,Work",No,,,,,,,,,,,10,2,No,
2018-08-04 17:00:22,2018-08-04 17:01:57,IP Address,107.204.75.51,100,94,True,2018-08-04 17:01:57,R_r2ai8XibF6XfAzv,,,,,32.736801147461,-117.12770080566,social,EN,Yes,"Starbucks,Home/Other Household,Work",Yes,Extremely important,Very important,Not at all important,Very important,Very important,Not at all important,Very important,Very important,Very important,Not at all important,5,1,No,
2018-08-04 17:19:40,2018-08-04 17:21:03,IP Address,67.177.61.219,100,82,True,2018-08-04 17:21:03,R_1eY3xBJ8CfKOkE5,,,,,40.498199462891,-111.84359741211,anonymous,EN,Yes,,Yes,Extremely important,Slightly important,Very important,Extremely important,Extremely important,Moderately important,Extremely important,Extremely important,Extremely important,Slightly important,,,,
2018-08-04 17:23:56,2018-08-04 17:26:05,IP Address,24.11.66.17,100,128,True,2018-08-04 17:26:05,R_SQdvK0IOEAfCOhX,,,,,40.514099121094,-112.03299713135,anonymous,EN,Yes,"Starbucks,McDonalds,Work,Other",Yes,Extremely important,Very important,Moderately important,Extremely important,Very important,Moderately important,Slightly important,Extremely important,Very important,Very important,6,1,Yes,No
2018-08-04 17:28:14,2018-08-04 17:28:56,IP Address,76.14.134.54,100,41,True,2018-08-04 17:28:57,R_2VlTjZ2Uq7fPZxr,,,,,38.805206298828,-121.24530029297,social,EN,Yes,Home/Other Household,No,,,,,,,,,,,,,,
2018-08-04 20:53:36,2018-08-04 20:54:58,IP Address,75.169.52.245,100,81,True,2018-08-04 20:54:58,R_rkzXWSBUBpcGXIZ,,,,,40.658294677734,-111.92310333252,anonymous,EN,Yes,"McDonalds,7-Eleven,Work",Yes,Extremely important,Moderately important,Not at all important,Very important,Very important,Moderately important,Very important,Extremely important,Extremely important,Extremely important,,,,
2018-08-05 07:20:04,2018-08-05 07:21:18,IP Address,184.96.55.185,100,73,True,2018-08-05 07:21:18,R_3Dezxgpr0l5xCdU,,,,,39.534698486328,-104.95819854736,anonymous,EN,Yes,,Yes,Extremely important,Moderately important,Very important,Very important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Slightly important,,,,
2018-08-04 11:14:54,2018-08-04 11:15:32,IP Address,172.58.23.207,38,37,False,2018-08-05 11:15:52,R_31dfCL8C1dPoOTK,,,,,,,social,EN,Yes,"Starbucks,Local/Neighborhood Cafe",Yes,,,,,,,,,,,,,,
2018-08-04 11:21:17,2018-08-04 11:21:55,IP Address,107.11.48.239,38,37,False,2018-08-05 11:22:19,R_2rxe5MyX9BHVSP5,,,,,,,social,EN,Yes,"Starbucks,Local/Neighborhood Cafe,Home/Other Household,Work",Yes,,,,,,,,,,,,,,
2018-08-05 12:18:14,2018-08-05 12:20:59,IP Address,174.23.153.155,100,164,True,2018-08-05 12:20:59,R_1hGtWFxmdk1CKbI,,,,,40.748504638672,-111.98600006104,anonymous,EN,Yes,"Starbucks,Home/Other Household",Yes,Extremely important,Not at all important,Moderately important,Extremely important,Extremely important,Moderately important,Extremely important,Extremely important,Extremely important,Slightly important,5,1,Yes,No
2018-08-04 12:43:00,2018-08-04 12:43:07,IP Address,174.23.153.155,13,7,False,2018-08-05 12:43:12,R_2BnTbHNojFjzvbn,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,
2018-08-04 13:09:58,2018-08-04 13:10:12,IP Address,73.118.242.94,13,14,False,2018-08-05 13:10:41,R_3MKCXZAt8Jdog72,,,,,,,social,EN,Yes,,,,,,,,,,,,,,,,
2018-08-04 13:33:28,2018-08-04 13:38:34,IP Address,99.203.10.114,38,305,False,2018-08-05 13:38:36,R_3QzDeGV0VEMb3qx,,,,,,,social,EN,Yes,"Starbucks,Local/Neighborhood Cafe,Work",Yes,,,,,,,,,,,,,,
2018-08-04 13:42:20,2018-08-04 13:42:22,IP Address,8.33.33.143,13,2,False,2018-08-05 13:42:29,R_2fx0hMg9exzWDZ0,,,,,,,social,EN,Yes,,,,,,,,,,,,,,,,
2018-08-04 15:20:02,2018-08-04 15:25:18,IP Address,107.77.231.72,50,315,False,2018-08-05 15:25:52,R_31vpg00bsvB0o87,,,,,,,anonymous,EN,Yes,"Starbucks,Home/Other Household",Yes,Extremely important,Slightly important,Extremely important,Moderately important,Moderately important,Slightly important,Very important,Slightly important,Extremely important,Very important,,,,
2018-08-05 17:10:48,2018-08-05 17:12:28,IP Address,69.167.1.169,100,99,True,2018-08-05 17:12:29,R_2rYgn96ksluAFBX,,,,,34.072906494141,-118.2606048584,social,EN,Yes,"Starbucks,Local/Neighborhood Cafe,Home/Other Household",Yes,Very important,Extremely important,Slightly important,Moderately important,Not at all important,Extremely important,Slightly important,Moderately important,Very important,Not at all important,6,2,No,
2018-08-04 18:31:07,2018-08-04 18:31:31,IP Address,69.167.3.163,38,23,False,2018-08-05 18:31:54,R_2TtLzAsD86Xunfk,,,,,,,social,EN,Yes,"Starbucks,Local/Neighborhood Cafe,Home/Other Household",Yes,,,,,,,,,,,,,,
2018-08-05 20:14:58,2018-08-05 20:16:58,IP Address,99.101.10.236,100,120,True,2018-08-05 20:16:59,R_2Cr1wKq84qb4COG,,,,,32.859405517578,-117.20729827881,social,EN,Yes,"Starbucks,Local/Neighborhood Cafe,Work",Yes,Extremely important,Very important,Extremely important,Moderately important,Very important,Very important,Moderately important,Moderately important,Moderately important,Moderately important,3,2,Yes,Yes
2018-08-05 20:51:46,2018-08-05 20:52:57,IP Address,174.208.2.108,100,71,True,2018-08-05 20:52:57,R_245yV33WKMx0LcA,,,,,40.324493408203,-111.96179962158,anonymous,EN,Yes,,Yes,Extremely important,Moderately important,Very important,Extremely important,Moderately important,Very important,Extremely important,Moderately important,Very important,Moderately important,,,,
